PROJECT_ID,COMPANY_NAME,PRODUCT_ID,PROJECT_NAME,COMPONENT_GROUP,COMPONENT,TOPIC_GROUP,TOPIC,PERC_ONE_DEC_PLACE,OUTCOME,RECOMMENDATION_TEXT,PROJECT_START_DATE,PROJECT_LAUNCH_DATE,DATE_UPLOAD,BENCHMARK_PERCENTILE,BENCHMARK_OUTCOME,BENCHMARK_SELECTIION
1261,Testing123,2,TESLA,Customer Culture CG,CDC,Customer Culture TG,Culture of Customer,52.9,Competent,"Cultivating a strong customer culture enables an organisation to build a narrative around how they want the market to perceive them, both as an employer of choice and a provider of customer solutions. How the views and experiences of your employees are reflected in their responses to these questions should be a testament to your customers own experiences with your business. This initial feedback suggests a mixed result on your level of customer culture, and more effort may be required to progress your organisation on this journey.",11/26/2020,11/27/2020,11/30/2020,52.5,Competent,Benchmark
1261,Testing123,2,TESLA,Customer Culture CG,CDC,Customer Culture TG,Interaction with Customer,48.8,Competent,"Once an organisation has quantified its knowledge of its customers, it can service them with greater precision via the creation of strategic and tactical programs that improve targeting and operational effectiveness. Based on this review your business appears to have some customer programs in place, but hasn't been able to effectively deploy a full customer strategy. Investing in addressing the key challenges that are holding you back could be a viable option.",11/26/2020,11/27/2020,11/30/2020,41.2,Immature,Benchmark
1261,Testing123,2,TESLA,Customer Culture CG,CDC,Customer Culture TG,Knowledge of Customer,54.4,Competent,"Taking raw data and building an understanding of your customers experience, predicting their future behaviour, and identifying how this relates to your commercial strategy is paramount to learning how best to serve your customers in a way that aligns to your business goals. Based on your feedback to these questions it appears your business is struggling to build customer intelligence capability. A more robust review of your analytical maturity would offer insight in how improvements could be made.",11/26/2020,11/27/2020,11/30/2020,51,Competent,Benchmark
1261,Testing123,2,TESLA,Customer Culture CG,CDC,Customer Culture TG,Listen to Customer,42.9,Immature,"Customers leave a trail of data with each interaction. How your business copes with the capture, storage and processing of this information can determine how well you understand your customers need. Based on this initial feedback it appears that your business is not effective in the management of customer data. If you aspire to make customer data a priority, we highly recommend a more detailed review.",11/26/2020,11/27/2020,11/30/2020,50.6,Competent,Benchmark
1261,Testing123,2,TESLA,Customer Culture CG,CDC,Customer Culture TG,Overall Efficiency Score-Introduction,50.2,Competent,"This CDC report is intended to provide an overview of your customer data culture capabilty. As this result is based on the feedback of one individual, we recommend you consider conducting this analysis with a wider set of participants to quantify the result before taking any actions.",11/26/2020,11/27/2020,11/30/2020,49.3,Competent,Benchmark
1261,Testing123,2,TESLA,Customer Culture CG,CDC,Customer Culture TG,Overall Efficiency Score-Paragraph,50.2,Competent,Your feedback paints a picture of a business with some competence as a customer data culture. A viable next step could be to conduct a CDC enterprise investment to garner a complete view of these outcomes from a wider set of business stakeholders.,11/26/2020,11/27/2020,11/30/2020,49.3,Competent,Benchmark
1261,Testing123,2,TESLA,TSCM,TSCM,SCORING_MATRX,TSCM ,0 % - 24 %,Undeveloped         ,TSCM,11/26/2020,11/27/2020,11/30/2020,,,
1261,Testing123,2,TESLA,TSCM,TSCM,SCORING_MATRX,TSCM ,25 % - 44 %,Immature            ,TSCM,11/26/2020,11/27/2020,11/30/2020,,,
1261,Testing123,2,TESLA,TSCM,TSCM,SCORING_MATRX,TSCM ,45 % - 54 %,Competent           ,TSCM,11/26/2020,11/27/2020,11/30/2020,,,
1261,Testing123,2,TESLA,TSCM,TSCM,SCORING_MATRX,TSCM ,55 % - 69 %,Established         ,TSCM,11/26/2020,11/27/2020,11/30/2020,,,
1261,Testing123,2,TESLA,TSCM,TSCM,SCORING_MATRX,TSCM ,70 % - 84 %,Advanced            ,TSCM,11/26/2020,11/27/2020,11/30/2020,,,
1261,Testing123,2,TESLA,TSCM,TSCM,SCORING_MATRX,TSCM ,85 % - 100 %,Commercially Sound  ,TSCM,11/26/2020,11/27/2020,11/30/2020,,,
1261,Testing123,2,TESLA,Customer Culture CG,CDC,Customer Culture TG-Actionsteps,Culture of Customer,52.9,Competent,"1. Review and refine the customer culture strategy; start by investigating gaps in customer culture understanding and which departments or roles are most in need of a refresher. 2. Review and Refine the internal communication program on customer value, how each role impacts customer outcomes, and why it is essential.",11/26/2020,11/27/2020,11/30/2020,52.5,Competent,Benchmark
1261,Testing123,2,TESLA,Customer Culture CG,CDC,Customer Culture TG-Actionsteps,Interaction with Customer,48.8,Competent,"1.Review and Refine existing communication programs, considering how you measure value and prioritize programs based on benefit. This could free up customer communication opportunities for new ideas and approaches.  2.Review your existing measures used for understanding your customer dynamics. Consider measures relating to engagement, value, and next communication opportunity. This will help operationalise customer communication programs over time.",11/26/2020,11/27/2020,11/30/2020,41.2,Immature,Benchmark
1261,Testing123,2,TESLA,Customer Culture CG,CDC,Customer Culture TG-Actionsteps,Knowledge of Customer,54.4,Competent,"1.Review / Define an approach to building on known insights. Establish a set of customer hypothesis statements and validate these assumptions to learn more about the factors influencing the purchase decision.  2.Consider the Customer journey from multiple perspectives, acquisition, upsell, retention, and win-back. This will provide a more holistic view of your customer's interrelationship with you and your competitors.",11/26/2020,11/27/2020,11/30/2020,51,Competent,Benchmark
